"SettlementPoint","Year","Month","HourlyVolatility"
"HB_HOUSTON","2019","December",6.62205558124745
"HB_HUBAVG","2016","December",11.1980974454412
"HB_HUBAVG","2017","December",5.33660525972879
"HB_HUBAVG","2018","December",10.3186578686302
"HB_HUBAVG","2019","December",6.7524925293939
"HB_NORTH","2016","December",10.9417415665583
"HB_NORTH","2017","December",4.98772161537807
"HB_NORTH","2018","December",9.91945214748273
"HB_NORTH","2019","December",6.80660403483986
"HB_PAN","2019","December",8.23957178082878
"HB_SOUTH","2016","December",11.367082161044
"HB_SOUTH","2017","December",5.58550540418978
"HB_SOUTH","2018","December",10.2940041896471
"HB_SOUTH","2019","December",6.65683247296868
"HB_WEST","2016","December",11.2972559663683
"HB_WEST","2017","December",5.76938887099938
"HB_WEST","2018","December",11.6848413688019
"HB_WEST","2019","December",7.18867704410167
